width: 69 pixels
height: 3289 pixels
channels: 3


('253.93', '253.93', '253.93')
('255.00', '255.00', '255.00')
('255.00', '255.00', '255.00')
('255.00', '255.00', '255.00')
('255.00', '255.00', '255.00')
('255.00', '255.00', '255.00')
('249.80', '253.47', '252.53')
('252.20', '254.13', '253.13')
('253.33', '254.33', '255.00')
('251.80', '252.67', '254.40')
('253.07', '254.40', '253.93')
('252.33', '254.33', '253.33')
('250.47', '253.40', '253.27')
('247.67', '251.67', '252.67')
('247.67', '251.67', '252.60')
('248.40', '252.40', '253.33')
('246.60', '251.67', '254.40')
('247.20', '253.53', '253.53')
('238.67', '249.33', '249.93')
('238.33', '249.67', '251.93')
('235.80', '249.87', '252.87')
('235.47', '249.47', '252.60')
('239.20', '249.07', '253.20')
('237.13', '250.33', '253.07')
('234.33', '249.27', '252.27')
('231.00', '249.00', '253.00')
('231.13', '249.00', '253.00')
('229.60', '248.60', '252.53')
('230.40', '248.40', '252.40')
('230.40', '249.00', '253.00')
('228.67', '247.73', '251.67')
('229.53', '249.00', '252.53')
('228.40', '249.40', '252.40')
('230.13', '248.93', '252.93')
('229.73', '248.60', '252.60')
('230.00', '249.00', '253.00')
('229.60', '248.60', '252.60')
('226.07', '249.07', '254.07')
('228.07', '249.13', '254.13')
('227.33', '249.00', '254.00')
('226.47', '249.60', '254.47')
('227.00', '251.00', '255.00')
('226.47', '250.00', '254.33')
('223.60', '250.80', '254.00')
('224.87', '250.00', '254.00')
('226.53', '250.20', '254.47')
('226.40', '249.73', '254.40')
('226.47', '250.27', '254.47')
('226.07', '249.07', '254.07')
('225.80', '249.87', '253.93')
('225.67', '250.73', '254.73')
('225.53', '250.33', '254.33')
('225.40', '250.00', '254.00')
('223.73', '250.80', '254.13')
('225.00', '250.20', '254.13')
('225.93', '249.53', '250.73')
('224.93', '250.40', '253.60')
('225.13', '250.27', '254.00')
('224.93', '250.00', '254.00')
('225.67', '250.07', '254.07')
('225.53', '250.13', '253.20')
('225.27', '250.53', '253.40')
('221.53', '251.47', '253.47')
('224.47', '250.80', '254.27')
('222.13', '252.07', '253.73')
('223.07', '251.07', '254.00')
('223.47', '250.73', '253.87')
('224.13', '250.27', '253.80')
('224.07', '250.87', '254.20')
('222.47', '250.47', '253.47')
('222.80', '250.80', '253.80')
('223.80', '250.60', '254.07')
('224.53', '250.13', '253.93')
('220.80', '251.33', '253.27')
('221.47', '251.20', '253.53')
('221.33', '250.13', '252.67')
('221.47', '250.93', '253.20')
('221.20', '251.33', '253.27')
('220.40', '251.00', '253.00')
('219.40', '251.00', '252.87')
('221.07', '251.60', '253.73')
('218.67', '251.67', '252.93')
('221.33', '251.00', '253.47')
('219.40', '251.53', '253.00')
('218.53', '251.67', '253.00')
('220.67', '250.40', '252.67')
('219.27', '251.67', '253.00')
('217.13', '252.87', '253.00')
('217.07', '252.00', '252.53')
('220.07', '251.27', '253.20')
('221.47', '251.20', '253.53')
('220.00', '251.33', '253.00')
('218.20', '252.07', '253.00')
('218.27', '252.07', '253.13')
('217.80', '251.93', '252.93')
('219.20', '251.27', '252.73')
('218.33', '251.93', '252.93')
('217.80', '251.67', '252.67')
('216.93', '251.47', '253.27')
('215.27', '250.73', '252.53')
('218.00', '251.87', '252.73')
('215.33', '251.00', '252.40')
('215.73', '252.33', '252.33')
('215.60', '250.87', '252.53')
('212.80', '251.87', '252.33')
('214.93', '250.93', '252.27')
('208.33', '247.87', '248.07')
('213.27', '250.07', '251.67')
('212.27', '251.00', '251.00')
('212.40', '251.67', '252.00')
('224.47', '250.20', '252.00')
('214.13', '251.60', '252.13')
('212.40', '251.93', '252.20')
('212.33', '249.07', '250.33')
('214.60', '252.27', '252.20')
('213.33', '250.73', '251.67')
('214.00', '252.27', '252.40')
('212.80', '249.87', '251.00')
('209.27', '248.47', '251.73')
('212.13', '249.93', '250.93')
('209.80', '247.40', '248.73')
('209.40', '249.13', '251.80')
('209.80', '250.13', '249.33')
('201.87', '246.53', '249.93')
('199.93', '244.00', '247.33')
('196.20', '244.00', '248.27')
('207.07', '246.53', '249.33')
('207.93', '247.87', '251.73')
('201.87', '247.67', '248.33')
('199.33', '246.73', '250.73')
('196.80', '245.27', '248.00')
('197.47', '246.13', '250.13')
